Year,m,d,Time,Time zone,Carbon monoxide (ug/m3),Nitrogen dioxide (ug/m3),Ozone (ug/m3),Particulate matter < 10 µm (ug/m3),Particulate matter < 2.5 µm (ug/m3),Sulphur dioxide (ug/m3),Odorous sulphur compounds (ugS/m3)
2004,12,28,16:00,UTC,,,,,,,
2004,12,28,17:00,UTC,,,,,,,
2004,12,28,18:00,UTC,,,,,,,
2004,12,28,19:00,UTC,,,,,,,
2004,12,28,20:00,UTC,,,,,,,
2004,12,28,21:00,UTC,,,,,,,
2004,12,28,22:00,UTC,,,,,,,
2004,12,28,23:00,UTC,,,,,,,
2004,12,29,00:00,UTC,,,,,,,
2004,12,29,01:00,UTC,,,,,,,
2004,12,29,02:00,UTC,,,,,,,
2004,12,29,03:00,UTC,,,,,,,
2004,12,29,04:00,UTC,,,,,,,
2004,12,29,05:00,UTC,,,,,,,
2004,12,29,06:00,UTC,,,,,,,
2004,12,29,07:00,UTC,,,,,,,
2004,12,29,08:00,UTC,,,,,,,
2004,12,29,09:00,UTC,,,,,,,
2004,12,29,10:00,UTC,,,,,,,
2004,12,29,11:00,UTC,,,,,,,
2004,12,29,12:00,UTC,,,,,,,
2004,12,29,13:00,UTC,,,,,,,
2004,12,29,14:00,UTC,,,,,,,
2004,12,29,15:00,UTC,,,,,,,
2004,12,29,16:00,UTC,,,,,,,
2004,12,29,17:00,UTC,,,,,,,
2004,12,29,18:00,UTC,,,,,,,
2004,12,29,19:00,UTC,,,,,,,
2004,12,29,20:00,UTC,,,,,,,
2004,12,29,21:00,UTC,,,,,,,
2004,12,29,22:00,UTC,,,,,,,
2004,12,29,23:00,UTC,,,,,,,
2004,12,30,00:00,UTC,,,,,,,
2004,12,30,01:00,UTC,,,,,,,
2004,12,30,02:00,UTC,,,,,,,
2004,12,30,03:00,UTC,,,,,,,
2004,12,30,04:00,UTC,,,,,,,
2004,12,30,05:00,UTC,,,,,,,
2004,12,30,06:00,UTC,,,,,,,
2004,12,30,07:00,UTC,,,,,,,
2004,12,30,08:00,UTC,,,,,,,
2004,12,30,09:00,UTC,,,,,,,
2004,12,30,10:00,UTC,,,,,,,
2004,12,30,11:00,UTC,,,,,,,
2004,12,30,12:00,UTC,,,,,,,
2004,12,30,13:00,UTC,,,,,,,
2004,12,30,14:00,UTC,,,,,,,
2004,12,30,15:00,UTC,,,,,,,
2004,12,30,16:00,UTC,,,,,,,
2004,12,30,17:00,UTC,,,,,,,
2004,12,30,18:00,UTC,,,,,,,
2004,12,30,19:00,UTC,,,,,,,
2004,12,30,20:00,UTC,,,,,,,
2004,12,30,21:00,UTC,,,,,,,
2004,12,30,22:00,UTC,,,,,,,
2004,12,30,23:00,UTC,,,,,,,
2004,12,31,00:00,UTC,,,,,,,
2004,12,31,01:00,UTC,,,,,,,
2004,12,31,02:00,UTC,,,,,,,
2004,12,31,03:00,UTC,,,,,,,
2004,12,31,04:00,UTC,,,,,,,
2004,12,31,05:00,UTC,,,,,,,
2004,12,31,06:00,UTC,,,,,,,
2004,12,31,07:00,UTC,,,,,,,
2004,12,31,08:00,UTC,,,,,,,
2004,12,31,09:00,UTC,,,,,,,
2004,12,31,10:00,UTC,,,,,,,
2004,12,31,11:00,UTC,,,,,,,
2004,12,31,12:00,UTC,,,,,,,
2004,12,31,13:00,UTC,,,,,,,
2004,12,31,14:00,UTC,,,,,,,
2004,12,31,15:00,UTC,,,,,,,
2004,12,31,16:00,UTC,,,,,,,
2004,12,31,17:00,UTC,,,,,,,
2004,12,31,18:00,UTC,,,,,,,
2004,12,31,19:00,UTC,,,,,,,
2004,12,31,20:00,UTC,,,,,,,
2004,12,31,21:00,UTC,,,,,,,
2004,12,31,22:00,UTC,,,,,,,
2004,12,31,23:00,UTC,,,,104,,,
2005,1,1,00:00,UTC,,,,83.4,,,
2005,1,1,01:00,UTC,,,,40.4,,,
2005,1,1,02:00,UTC,,,,25.6,,,
2005,1,1,03:00,UTC,,,,29.5,,,
2005,1,1,04:00,UTC,,,,13.2,,,
2005,1,1,05:00,UTC,,,,14.5,,,
2005,1,1,06:00,UTC,,,,9.4,,,
2005,1,1,07:00,UTC,,,,10.6,,,
2005,1,1,08:00,UTC,,,,8.8,,,
2005,1,1,09:00,UTC,,,,9.8,,,
2005,1,1,10:00,UTC,,,,5.5,,,
2005,1,1,11:00,UTC,,,,3.8,,,
2005,1,1,12:00,UTC,,,,9.3,,,
2005,1,1,13:00,UTC,,,,6.8,,,
2005,1,1,14:00,UTC,,,,9.2,,,
2005,1,1,15:00,UTC,,,,9.6,,,
2005,1,1,16:00,UTC,,,,9.4,,,
2005,1,1,17:00,UTC,,,,7.6,,,
2005,1,1,18:00,UTC,,,,10.7,,,
2005,1,1,19:00,UTC,,,,7.8,,,
2005,1,1,20:00,UTC,,,,9.1,,,
2005,1,1,21:00,UTC,,,,9.7,,,
2005,1,1,22:00,UTC,,,,10.9,,,
2005,1,1,23:00,UTC,,,,11.6,,,
2005,1,2,00:00,UTC,,,,10.9,,,
2005,1,2,01:00,UTC,,,,8.7,,,
2005,1,2,02:00,UTC,,,,11.7,,,
2005,1,2,03:00,UTC,,,,8.5,,,
2005,1,2,04:00,UTC,,,,11.5,,,
2005,1,2,05:00,UTC,,,,6.5,,,
2005,1,2,06:00,UTC,,,,8.1,,,
2005,1,2,07:00,UTC,,,,11.8,,,
2005,1,2,08:00,UTC,,,,11.8,,,
2005,1,2,09:00,UTC,,,,10.4,,,
2005,1,2,10:00,UTC,,,,11.3,,,
2005,1,2,11:00,UTC,,,,11.8,,,
2005,1,2,12:00,UTC,,,,12.5,,,
2005,1,2,13:00,UTC,,,,14,,,
2005,1,2,14:00,UTC,,,,13.1,,,
2005,1,2,15:00,UTC,,,,15.6,,,
2005,1,2,16:00,UTC,,,,13.3,,,
2005,1,2,17:00,UTC,,,,10.7,,,
